,1-Jul-09,1-Jul-08,1-Jul-07,1-Jul-06,1-Jul-05,1-Jul-04,1-Jul-03,1-Jul-02,1-Jul-01,1-Jul-00,1-Apr-00,Census
.Adams County,28043,28183,28098,28210,28177,28062,27913,27705,27480,27337,27330,27330
.Allen County,104357,104826,104895,105126,105528,105780,106527,107845,108193,108577,108473,108473
.Ashland County,55044,54982,54810,54317,53958,53609,53454,53045,52823,52584,52527,52523
.Ashtabula County,100767,100973,101400,101686,102051,102262,102473,102609,102665,102745,102728,102728
.Athens County,63026,63199,62863,63136,63143,62475,63258,63055,62832,62323,62223,62223
.Auglaize County,46699,46748,46513,46512,46626,46388,46310,46391,46566,46589,46611,46611
.Belmont County,68066,68063,68409,68659,68662,68998,69263,69663,69574,70124,70236,70226
.Brown County,44003,43909,43810,43735,43660,43607,43500,43201,42768,42583,42285,42285
.Butler County,363184,360775,358116,353888,348425,344914,341766,338958,336587,333695,332705,332807
.Carroll County,28539,28677,28769,28888,28885,29115,29187,29100,28936,28869,28839,28836
.Champaign County,39713,39718,39589,39531,39195,39237,39155,39134,38968,38925,38890,38890
.Clark County,139671,139818,140187,140875,141543,141565,141915,143412,143929,144661,144741,144742
.Clermont County,196364,195417,193971,191859,189276,187275,184574,182539,180392,178629,177975,177977
.Clinton County,43058,43152,42990,42837,42063,41798,41441,41220,40912,40660,40543,40543
.Columbiana County,107722,108106,108785,109319,109481,110395,110824,111061,111395,112093,112075,112075
.Coshocton County,35767,35917,36247,36497,36648,36843,36842,36858,36817,36691,36655,36655
.Crawford County,43403,43738,44147,44460,45159,45490,45722,46173,46512,46881,46966,46966
.Cuyahoga County,1275709,1282880,1293600,1305273,1323972,1341479,1355668,1369224,1381483,1392073,1393848,1393978
.Darke County,51814,51988,52198,52342,52639,52808,52873,52833,53030,53292,53309,53309
.Defiance County,38432,38524,38470,38579,38574,38739,38916,39124,39367,39452,39501,39500
.Delaware County,168708,164913,160698,155669,149353,141958,134899,127011,119098,111714,109992,109989
.Erie County,76963,77339,77365,77555,77778,78361,78471,78644,79228,79603,79551,79551
.Fairfield County,143712,142299,141239,139503,137457,135055,131982,128860,125963,123414,122881,122759
.Fayette County,28117,28198,28272,28227,28212,28078,28133,28152,28170,28434,28433,28433
.Franklin County,1150122,1135643,1122357,1111018,1101224,1096256,1092518,1087369,1082421,1072307,1068872,1068978
.Fulton County,42402,42429,42458,42481,42638,42584,42262,42212,42157,42136,42084,42084
.Gallia County,30694,30889,30869,30828,30906,30955,31034,31074,31033,31094,31071,31069
.Geauga County,99060,98817,98227,97737,96876,95846,95006,93341,92186,91209,90895,90895
.Greene County,159823,159356,158844,157705,156218,155488,153251,151507,149566,148213,147886,147886
.Guernsey County,40054,40182,40384,40433,40606,40852,41048,40952,40832,40792,40792,40792
.Hamilton County,855062,853508,855928,847656,847182,846707,847484,848344,849398,844316,845302,845303
.Hancock County,74538,74367,74328,73791,73266,73289,72931,72528,71940,71329,71299,71295
.Hardin County,31818,31804,31770,31604,31697,31890,31541,31693,31690,31931,31945,31945
.Harrison County,15268,15365,15462,15476,15577,15593,15799,15775,15732,15853,15856,15856
.Henry County,28648,28824,28940,29247,29222,29184,29157,29238,29136,29210,29210,29210
.Highland County,42178,42402,42688,42536,42114,42260,41760,41537,41139,41016,40875,40875
.Hocking County,28912,28968,28989,28699,28718,28687,28608,28511,28364,28237,28239,28241
.Holmes County,41854,41475,41327,41366,41237,41062,40608,40331,39738,39050,38939,38943
.Huron County,59849,60067,60031,60020,60019,59932,59873,59884,59595,59585,59487,59487
.Jackson County,33440,33384,33302,33252,33332,33101,32931,32892,32695,32634,32636,32641
.Jefferson County,67691,68242,68550,69264,70064,70820,71381,71945,72786,73624,73881,73894
.Knox County,59637,59373,58967,58403,57975,57460,56818,56124,55364,54642,54503,54500
.Lake County,236775,235854,234492,233471,232578,232422,231394,230735,229351,227683,227511,227511
.Lawrence County,62744,62692,62758,62773,62447,62157,62183,61871,61991,62252,62323,62319
.Licking County,158488,157617,156724,155369,153872,152023,150126,148436,147327,146065,145625,145491
.Logan County,46582,46537,46523,46197,46310,46454,46415,46225,45953,46016,46005,46005
.Lorain County,305707,304639,302972,301628,299111,295517,293155,289327,286878,285149,284668,284664
.Lucas County,463493,464938,466650,465064,464634,463726,463174,460915,458621,454889,455056,455054
.Madison County,42539,41856,41702,41269,40781,40714,40578,40353,40175,40208,40209,40213
.Mahoning County,236735,238609,240767,243646,245598,248133,250382,252205,254855,257053,257560,257555
.Marion County,65655,65629,65504,65465,65712,65738,65900,65878,66004,66151,66213,66217
.Medina County,174035,171861,169894,168227,165712,163694,160803,157925,154630,151834,151095,151095
.Meigs County,22838,22730,22903,22960,23061,23087,23124,23103,23018,23026,23072,23072
.Mercer County,40666,40760,40809,40814,40755,40726,40712,40774,40786,40908,40924,40924
.Miami County,101256,101128,100945,100943,100638,100048,99552,99229,99111,98976,98868,98868
.Monroe County,14058,14208,14228,14345,14543,14788,14800,14845,15026,15167,15180,15180
.Montgomery County,532562,534901,538123,541077,544833,548002,550494,552367,555128,558543,559064,559062
.Morgan County,14288,14358,14518,14601,14711,14714,14670,14679,14790,14876,14897,14897
.Morrow County,34642,34576,34637,34283,34033,33836,33376,32868,32390,31795,31628,31628
.Muskingum County,84884,84986,85190,85321,85115,85137,85079,85064,84689,84707,84585,84585
.Noble County,14311,14264,14308,14344,13981,14164,14084,13955,13935,14101,14058,14058
.Ottawa County,40945,40989,41196,41234,41298,41305,41130,40917,40974,41004,40985,40985
.Paulding County,18994,19069,19189,19273,19404,19476,19635,19807,20091,20233,20292,20293
.Perry County,35359,35443,34952,34867,34780,34742,34659,34455,34295,34114,34076,34078
.Pickaway County,54734,54579,54272,53379,52356,51754,51629,51548,52259,52816,52727,52727
.Pike County,27722,27909,27915,27954,27776,28022,27962,27903,27752,27741,27697,27695
.Portage County,157530,156639,155916,154893,155025,154813,154457,153684,153012,152365,152043,152061
.Preble County,41422,41651,41651,41833,41886,42056,42211,42313,42284,42361,42337,42337
.Putnam County,34377,34450,34560,34606,34652,34578,34682,34615,34742,34763,34726,34726
.Richland County,124490,125081,126039,126398,126946,127459,127826,128068,128009,128797,128852,128852
.Ross County,75972,76129,75927,75316,74800,74326,74303,73895,73590,73448,73344,73345
.Sandusky County,60071,60265,60735,60994,61232,61436,61409,61695,61684,61810,61796,61792
.Scioto County,76334,76453,76419,76189,76155,76347,77150,77906,78385,79096,79195,79195
.Seneca County,56152,56564,56739,56882,57217,57511,57738,57934,58310,58607,58683,58683
.Shelby County,48990,48853,48690,48524,48501,48296,48301,48259,48276,47988,47910,47910
.Stark County,379466,380105,379823,379078,378868,379405,379234,378772,378403,378097,378132,378098
.Summit County,542405,543315,544643,545120,545624,545774,545829,545922,545276,543606,542901,542899
.Trumbull County,210157,211156,213245,215158,217034,218851,220357,222233,223888,224938,225114,225116
.Tuscarawas County,91137,91261,91307,91163,91345,91600,91436,91385,91141,91028,90914,90914
.Union County,48903,48339,47719,46680,45387,44642,43719,42899,42479,41195,40909,40909
.Van Wert County,28496,28735,28893,29070,29035,29145,29154,29251,29393,29630,29659,29659
.Vinton County,13228,13219,13362,13339,13221,13188,13165,13015,12930,12818,12803,12806
.Warren County,210712,207425,204045,199298,194167,187672,180779,173787,166848,160702,158489,158383
.Washington County,61048,61200,61448,61673,61936,62439,62393,62415,62751,63188,63251,63251
.Wayne County,114222,114156,113748,113804,113209,112954,112826,112576,112109,111664,111528,111564
.Williams County,37816,38109,38338,38366,38392,38602,38663,38919,39070,39205,39187,39188
.Wood County,125380,124989,125047,124868,124592,124066,122726,122208,122029,121195,121062,121065
.Wyandot County,22394,22409,22488,22540,22663,22797,22730,22772,22776,22910,22908,22908
