pitch_type,px,pz,des,num,gameday_link,start_speed,spin_dir,spin_rate,pfx_x,pfx_z,type,pitcher_name,event,stand,Pitch_Type,Foul,InPlay,Miss,Swing
FF,0.083,2.721,Swinging Strike,7,gid_2016_04_04_lanmlb_sdnmlb_1,92.3,158.575,3182.337,6.03,15.34,S,Clayton Kershaw,Strikeout,L,Four-Seam,FALSE,FALSE,TRUE,TRUE
FF,-1.41,2.327,Swinging Strike,7,gid_2016_04_04_lanmlb_sdnmlb_1,94.3,154.999,2544.767,5.55,11.87,S,Clayton Kershaw,Strikeout,L,Four-Seam,FALSE,FALSE,TRUE,TRUE
FF,-0.218,2.716,"In play, out(s)",9,gid_2016_04_04_lanmlb_sdnmlb_1,94.6,137.641,3764.92,13.06,14.29,X,Clayton Kershaw,Groundout,R,Four-Seam,FALSE,TRUE,FALSE,TRUE
SL,-0.356,2.544,Swinging Strike,13,gid_2016_04_04_lanmlb_sdnmlb_1,87.3,192.259,1221.839,-1.4,6.41,S,Clayton Kershaw,Strikeout,R,Slider,FALSE,FALSE,TRUE,TRUE
FF,0.243,3.324,Foul,13,gid_2016_04_04_lanmlb_sdnmlb_1,91.7,174.689,3120.657,1.49,15.96,S,Clayton Kershaw,Strikeout,R,Four-Seam,TRUE,FALSE,FALSE,TRUE
SL,0.133,1.902,Swinging Strike,13,gid_2016_04_04_lanmlb_sdnmlb_1,87.9,144.253,343.002,1.05,1.41,S,Clayton Kershaw,Strikeout,R,Slider,FALSE,FALSE,TRUE,TRUE
FF,-1.031,2.078,"In play, out(s)",14,gid_2016_04_04_lanmlb_sdnmlb_1,93.7,159.256,2367.182,4.22,11.09,X,Clayton Kershaw,Groundout,R,Four-Seam,FALSE,TRUE,FALSE,TRUE
FF,-0.263,3.103,Foul,16,gid_2016_04_04_lanmlb_sdnmlb_1,93.5,157.589,3040.419,5.87,14.18,S,Clayton Kershaw,Lineout,R,Four-Seam,TRUE,FALSE,FALSE,TRUE
FF,-0.616,3.389,Swinging Strike,23,gid_2016_04_04_lanmlb_sdnmlb_1,90.5,182.239,2621.918,-0.53,13.54,S,Clayton Kershaw,Groundout,L,Four-Seam,FALSE,FALSE,TRUE,TRUE
SL,-0.306,1.581,"In play, out(s)",23,gid_2016_04_04_lanmlb_sdnmlb_1,87.7,181.72,797.098,-0.13,4.19,X,Clayton Kershaw,Groundout,L,Slider,FALSE,TRUE,FALSE,TRUE
FF,-0.631,1.829,Swinging Strike,24,gid_2016_04_04_lanmlb_sdnmlb_1,92.1,177.143,2150.348,0.55,10.95,S,Clayton Kershaw,Strikeout,R,Four-Seam,FALSE,FALSE,TRUE,TRUE
FF,-0.661,2.709,"In play, no out",25,gid_2016_04_04_lanmlb_sdnmlb_1,93.7,171.78,2372.003,1.72,11.84,X,Clayton Kershaw,Single,L,Four-Seam,FALSE,TRUE,FALSE,TRUE
FF,-1.29,2.83,"In play, out(s)",26,gid_2016_04_04_lanmlb_sdnmlb_1,93.6,175.494,2804.728,1.12,14.17,X,Clayton Kershaw,Lineout,R,Four-Seam,FALSE,TRUE,FALSE,TRUE
SL,-0.624,2.148,Swinging Strike,30,gid_2016_04_04_lanmlb_sdnmlb_1,87.6,176.127,676.115,0.24,3.54,S,Clayton Kershaw,Strikeout,R,Slider,FALSE,FALSE,TRUE,TRUE
FF,-1.021,2.354,"In play, out(s)",31,gid_2016_04_04_lanmlb_sdnmlb_1,92.9,173.162,2322.988,1.4,11.64,X,Clayton Kershaw,Flyout,R,Four-Seam,FALSE,TRUE,FALSE,TRUE
SL,-1.079,1.653,"In play, out(s)",36,gid_2016_04_04_lanmlb_sdnmlb_1,84.8,186.047,1117.459,-0.65,6.12,X,Clayton Kershaw,Lineout,R,Slider,FALSE,TRUE,FALSE,TRUE
