Name,Team,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone,F-Strike,SwStr,playerid
Dexter Fowler,Cubs,0.194,0.647,0.390,0.622,0.862,0.794,0.434,0.581,0.080,4062
Carlos Santana,Indians,0.198,0.640,0.391,0.665,0.878,0.817,0.437,0.526,0.072,2396
Jose Bautista,Blue Jays,0.202,0.587,0.366,0.604,0.894,0.802,0.425,0.561,0.072,1887
Ben Zobrist,Cubs,0.205,0.561,0.355,0.767,0.942,0.883,0.420,0.566,0.041,7435
Joey Votto,Reds,0.208,0.686,0.422,0.758,0.855,0.829,0.447,0.544,0.071,4314
Curtis Granderson,Mets,0.209,0.581,0.366,0.599,0.895,0.797,0.422,0.550,0.074,4747
Russell Martin,Blue Jays,0.214,0.591,0.389,0.533,0.801,0.722,0.465,0.559,0.108,4616
Logan Forsythe,Rays,0.221,0.587,0.396,0.647,0.854,0.794,0.477,0.628,0.082,7185
Chase Utley,Dodgers,0.222,0.597,0.402,0.638,0.898,0.823,0.479,0.593,0.071,1679
Matt Carpenter,Cardinals,0.226,0.588,0.386,0.631,0.921,0.826,0.443,0.558,0.067,8090
Anthony Rendon,Nationals,0.228,0.648,0.427,0.750,0.888,0.849,0.474,0.623,0.064,12861
Christian Yelich,Marlins,0.229,0.643,0.405,0.540,0.884,0.773,0.427,0.551,0.092,11477
Mike Trout,Angels,0.230,0.603,0.388,0.706,0.870,0.814,0.423,0.558,0.071,10155
Paul Goldschmidt,Diamondbacks,0.230,0.607,0.391,0.696,0.844,0.794,0.426,0.567,0.079,9218
Joe Panik,Giants,0.231,0.650,0.417,0.789,0.949,0.900,0.445,0.561,0.042,11936
Joe Mauer,Twins,0.232,0.508,0.358,0.768,0.913,0.862,0.457,0.601,0.049,1857
Jayson Werth,Nationals,0.238,0.546,0.382,0.703,0.867,0.813,0.467,0.568,0.072,1327
Edwin Encarnacion,Blue Jays,0.238,0.672,0.426,0.626,0.850,0.779,0.433,0.577,0.094,2151
DJ LeMahieu,Rockies,0.239,0.609,0.419,0.794,0.947,0.902,0.486,0.584,0.041,9874
Brett Gardner,Yankees,0.240,0.541,0.368,0.757,0.920,0.859,0.425,0.524,0.052,9927
Jonathan Villar,Brewers,0.241,0.662,0.430,0.575,0.831,0.752,0.449,0.573,0.106,10071
Nick Markakis,Braves,0.242,0.621,0.409,0.815,0.915,0.882,0.441,0.554,0.048,5930
Cesar Hernandez,Phillies,0.243,0.680,0.443,0.631,0.899,0.820,0.459,0.588,0.080,10556
Justin Turner,Dodgers,0.244,0.660,0.444,0.766,0.869,0.840,0.481,0.605,0.071,5235
Josh Donaldson,Blue Jays,0.246,0.665,0.420,0.633,0.837,0.767,0.415,0.570,0.097,5038
Angel Pagan,Giants,0.247,0.598,0.405,0.811,0.939,0.896,0.451,0.578,0.042,2918
Alex Gordon,Royals,0.249,0.681,0.437,0.487,0.831,0.720,0.435,0.595,0.122,5209
Andrew McCutchen,Pirates,0.254,0.714,0.466,0.598,0.838,0.768,0.461,0.584,0.107,9847
Brandon Belt,Giants,0.255,0.789,0.475,0.564,0.854,0.763,0.412,0.563,0.112,10264
Mookie Betts,Red Sox,0.255,0.584,0.412,0.716,0.948,0.873,0.476,0.608,0.052,13611
Justin Upton,Tigers,0.257,0.659,0.441,0.569,0.785,0.717,0.458,0.556,0.124,5222
Michael Saunders,Blue Jays,0.258,0.699,0.447,0.500,0.844,0.730,0.428,0.550,0.120,9981
Chris Carter,Brewers,0.259,0.683,0.437,0.422,0.762,0.646,0.422,0.585,0.155,9911
Dustin Pedroia,Red Sox,0.260,0.609,0.431,0.803,0.925,0.888,0.492,0.580,0.048,8370
Jason Heyward,Cubs,0.261,0.600,0.413,0.751,0.910,0.855,0.448,0.551,0.060,4940
Wil Myers,Padres,0.262,0.603,0.408,0.697,0.865,0.803,0.427,0.578,0.080,10047
Mike Napoli,Indians,0.264,0.661,0.440,0.589,0.788,0.721,0.442,0.571,0.122,3057
Denard Span,Giants,0.264,0.647,0.440,0.734,0.944,0.875,0.460,0.587,0.055,8347
Eugenio Suarez,Reds,0.266,0.641,0.434,0.601,0.864,0.775,0.448,0.592,0.098,12552
Elvis Andrus,Rangers,0.269,0.614,0.432,0.719,0.915,0.850,0.472,0.641,0.064,8709
Kyle Seager,Mariners,0.270,0.621,0.426,0.712,0.889,0.827,0.444,0.550,0.073,9785
Bryce Harper,Nationals,0.270,0.682,0.427,0.663,0.874,0.792,0.382,0.507,0.086,11579
George Springer,Astros,0.272,0.741,0.474,0.618,0.797,0.739,0.431,0.634,0.124,12856
Martin Prado,Marlins,0.273,0.535,0.398,0.815,0.960,0.908,0.478,0.640,0.036,3312
Yonder Alonso,Athletics,0.273,0.706,0.464,0.659,0.928,0.839,0.440,0.615,0.074,2530
Ian Kinsler,Tigers,0.273,0.641,0.449,0.695,0.926,0.852,0.477,0.614,0.066,6195
Marcus Semien,Athletics,0.273,0.664,0.456,0.643,0.846,0.781,0.468,0.570,0.100,12533
Yunel Escobar,Angels,0.273,0.730,0.486,0.650,0.934,0.848,0.465,0.647,0.074,4191
Jason Kipnis,Indians,0.275,0.620,0.430,0.669,0.900,0.819,0.449,0.552,0.078,9776
Jose Ramirez,Indians,0.277,0.640,0.439,0.844,0.912,0.888,0.447,0.570,0.049,13510
