pitch_type,px,pz,des,num,gameday_link,start_speed,spin_dir,spin_rate,pfx_x,pfx_z,type,pitcher_name,event,stand
FF,0.089,2.75,Called Strike,7,gid_2016_04_04_lanmlb_sdnmlb_1,90.1,187.266,3054.347,-1.95,15.25,S,Clayton Kershaw,Strikeout,L
FF,0.083,2.721,Swinging Strike,7,gid_2016_04_04_lanmlb_sdnmlb_1,92.3,158.575,3182.337,6.03,15.34,S,Clayton Kershaw,Strikeout,L
FF,-2.651,2.69,Ball,7,gid_2016_04_04_lanmlb_sdnmlb_1,91.3,206.39,3518.287,-7.79,15.66,B,Clayton Kershaw,Strikeout,L
CU,-0.644,-0.231,Ball,7,gid_2016_04_04_lanmlb_sdnmlb_1,73.5,353.587,1313.787,-0.96,-8.57,B,Clayton Kershaw,Strikeout,L
FF,0.642,4.521,Ball,7,gid_2016_04_04_lanmlb_sdnmlb_1,93.1,179.929,2169.652,0.01,10.73,B,Clayton Kershaw,Strikeout,L
FF,-1.41,2.327,Swinging Strike,7,gid_2016_04_04_lanmlb_sdnmlb_1,94.3,154.999,2544.767,5.55,11.87,S,Clayton Kershaw,Strikeout,L
FF,-0.839,1.85,Called Strike,8,gid_2016_04_04_lanmlb_sdnmlb_1,93.3,168.395,2852.454,2.86,13.87,S,Clayton Kershaw,Flyout,R
CU,0.446,1.644,Ball,8,gid_2016_04_04_lanmlb_sdnmlb_1,72.3,354.386,964.367,-0.62,-6.34,B,Clayton Kershaw,Flyout,R
FF,1.159,2.461,Ball,8,gid_2016_04_04_lanmlb_sdnmlb_1,93,160.312,2360.226,4.03,11.21,B,Clayton Kershaw,Flyout,R
CH,0.279,3.034,"In play, out(s)",8,gid_2016_04_04_lanmlb_sdnmlb_1,93.7,139.512,3216.24,10.73,12.53,X,Clayton Kershaw,Flyout,R
SL,0.566,1.983,Ball,9,gid_2016_04_04_lanmlb_sdnmlb_1,87.3,190.594,754.599,-0.74,3.89,B,Clayton Kershaw,Groundout,R
FF,-0.218,2.716,"In play, out(s)",9,gid_2016_04_04_lanmlb_sdnmlb_1,94.6,137.641,3764.92,13.06,14.29,X,Clayton Kershaw,Groundout,R
FF,-0.147,3.199,Called Strike,13,gid_2016_04_04_lanmlb_sdnmlb_1,91.5,169.564,2770.656,2.57,13.89,S,Clayton Kershaw,Strikeout,R
SL,-0.356,2.544,Swinging Strike,13,gid_2016_04_04_lanmlb_sdnmlb_1,87.3,192.259,1221.839,-1.4,6.41,S,Clayton Kershaw,Strikeout,R
FF,0.243,3.324,Foul,13,gid_2016_04_04_lanmlb_sdnmlb_1,91.7,174.689,3120.657,1.49,15.96,S,Clayton Kershaw,Strikeout,R
CH,-0.254,0.735,Ball,13,gid_2016_04_04_lanmlb_sdnmlb_1,89.7,142.534,1972.075,6.32,8.2,B,Clayton Kershaw,Strikeout,R
SL,0.046,3.862,Ball,13,gid_2016_04_04_lanmlb_sdnmlb_1,87.7,178.611,692.697,0.09,3.6,B,Clayton Kershaw,Strikeout,R
CU,1.054,1.598,Ball,13,gid_2016_04_04_lanmlb_sdnmlb_1,72.5,21.107,1619.25,3.75,-9.79,B,Clayton Kershaw,Strikeout,R
SL,0.133,1.902,Swinging Strike,13,gid_2016_04_04_lanmlb_sdnmlb_1,87.9,144.253,343.002,1.05,1.41,S,Clayton Kershaw,Strikeout,R
FF,-1.031,2.078,"In play, out(s)",14,gid_2016_04_04_lanmlb_sdnmlb_1,93.7,159.256,2367.182,4.22,11.09,X,Clayton Kershaw,Groundout,R
FF,-1.4,3.162,Ball,15,gid_2016_04_04_lanmlb_sdnmlb_1,93.2,168.975,2059.598,2.01,10.28,B,Clayton Kershaw,Walk,R
FF,0.215,1.641,Ball,15,gid_2016_04_04_lanmlb_sdnmlb_1,93.4,160.343,2576.687,4.34,12.1,B,Clayton Kershaw,Walk,R
CH,0.352,2.13,Called Strike,15,gid_2016_04_04_lanmlb_sdnmlb_1,92.9,149.44,2517.013,6.38,10.76,S,Clayton Kershaw,Walk,R
SL,0.159,0.902,Ball,15,gid_2016_04_04_lanmlb_sdnmlb_1,87.8,145.331,677.443,2.04,2.91,B,Clayton Kershaw,Walk,R
