game_pk,BAT_TEAM,N,HR,venue_name,venue_id
630099,ARI,30,0,Chase Field,15
630099,COL,23,2,Chase Field,15
630100,ARI,22,0,Chase Field,15
630100,LAD,30,4,Chase Field,15
630101,ARI,19,0,Chase Field,15
630101,LAD,27,2,Chase Field,15
630109,ARI,30,0,Chase Field,15
630109,HOU,31,2,Chase Field,15
630110,ARI,37,4,Chase Field,15
630110,HOU,24,4,Chase Field,15
630111,ARI,30,0,Chase Field,15
630111,HOU,25,2,Chase Field,15
630115,ARI,22,1,Chase Field,15
630115,SD,25,0,Chase Field,15
630116,ARI,29,0,Chase Field,15
630116,SD,27,2,Chase Field,15
630117,ARI,27,2,Chase Field,15
630117,SD,22,1,Chase Field,15
630118,ARI,30,1,Chase Field,15
630118,OAK,25,1,Chase Field,15
630145,ARI,28,1,Chase Field,15
630145,LAD,26,3,Chase Field,15
630174,ARI,26,2,Chase Field,15
630174,OAK,17,0,Chase Field,15
630193,ARI,26,2,Chase Field,15
630193,COL,26,1,Chase Field,15
630194,ARI,26,2,Chase Field,15
630194,COL,26,1,Chase Field,15
630201,ARI,27,0,Chase Field,15
630201,LAD,21,2,Chase Field,15
630202,ARI,32,1,Chase Field,15
630202,COL,24,0,Chase Field,15
630203,ARI,27,2,Chase Field,15
630203,COL,21,1,Chase Field,15
630216,ARI,25,0,Chase Field,15
630216,SF,28,2,Chase Field,15
630217,ARI,22,1,Chase Field,15
630217,SF,26,1,Chase Field,15
630219,ARI,22,1,Chase Field,15
630219,SF,20,1,Chase Field,15
630220,ARI,33,3,Chase Field,15
630220,LAD,32,2,Chase Field,15
630221,ARI,27,0,Chase Field,15
630221,LAD,29,2,Chase Field,15
630223,ARI,31,1,Chase Field,15
630223,LAD,27,2,Chase Field,15
630224,ARI,25,0,Chase Field,15
630224,SEA,25,2,Chase Field,15
630225,ARI,26,0,Chase Field,15
630225,SEA,25,2,Chase Field,15
630226,ARI,18,0,Chase Field,15
630226,SEA,27,0,Chase Field,15
630243,ARI,31,1,Chase Field,15
630243,TEX,24,0,Chase Field,15
630263,ARI,29,3,Chase Field,15
630263,TEX,25,0,Chase Field,15
630270,ARI,22,1,Chase Field,15
630270,COL,14,0,Chase Field,15
630271,ARI,26,0,Chase Field,15
630271,COL,30,2,Chase Field,15
630272,ATL,26,1,Truist Park,4705
630272,TB,24,0,Truist Park,4705
630273,ATL,24,0,Truist Park,4705
630273,PHI,27,3,Truist Park,4705
630275,ATL,25,0,Truist Park,4705
630275,NYM,29,3,Truist Park,4705
630278,ATL,23,2,Truist Park,4705
630278,NYM,21,0,Truist Park,4705
630280,ATL,21,1,Truist Park,4705
630280,NYM,23,0,Truist Park,4705
630281,ATL,18,1,Truist Park,4705
630281,NYM,28,1,Truist Park,4705
630284,ATL,32,3,Truist Park,4705
630284,TOR,24,0,Truist Park,4705
630307,ATL,16,1,Truist Park,4705
630307,TOR,23,0,Truist Park,4705
630313,ATL,21,2,Truist Park,4705
630313,TOR,22,1,Truist Park,4705
630316,ATL,32,2,Truist Park,4705
630316,WSH,22,4,Truist Park,4705
630322,ATL,30,1,Truist Park,4705
630322,WSH,38,0,Truist Park,4705
630323,ATL,19,4,Truist Park,4705
630323,WSH,25,1,Truist Park,4705
630324,ATL,29,3,Truist Park,4705
630324,PHI,24,0,Truist Park,4705
630338,ATL,27,1,Truist Park,4705
630338,PHI,25,2,Truist Park,4705
630346,ATL,18,0,Truist Park,4705
630346,TB,21,0,Truist Park,4705
630360,ATL,16,1,Truist Park,4705
630360,NYY,20,0,Truist Park,4705
630361,ATL,13,3,Truist Park,4705
630361,NYY,17,1,Truist Park,4705
630371,ATL,23,3,Truist Park,4705
630371,WSH,23,0,Truist Park,4705
630383,ATL,26,3,Truist Park,4705
630383,WSH,31,0,Truist Park,4705
630385,ATL,33,5,Truist Park,4705
630385,MIA,24,1,Truist Park,4705
630415,ATL,31,1,Truist Park,4705
630415,MIA,33,0,Truist Park,4705
630438,ATL,21,0,Truist Park,4705
630438,MIA,30,3,Truist Park,4705
630439,ATL,39,7,Truist Park,4705
630439,MIA,32,2,Truist Park,4705
630440,ATL,20,0,Truist Park,4705
630440,MIA,26,0,Truist Park,4705
630491,ATL,28,2,Truist Park,4705
630491,WSH,27,0,Truist Park,4705
630492,BAL,29,1,Oriole Park at Camden Yards,2
630492,TB,30,1,Oriole Park at Camden Yards,2
630493,BAL,27,2,Oriole Park at Camden Yards,2
630493,TB,23,1,Oriole Park at Camden Yards,2
630495,BAL,22,1,Oriole Park at Camden Yards,2
630495,NYY,22,3,Oriole Park at Camden Yards,2
630496,BAL,24,3,Oriole Park at Camden Yards,2
630496,NYY,24,2,Oriole Park at Camden Yards,2
630497,BAL,19,1,Oriole Park at Camden Yards,2
630497,NYY,21,0,Oriole Park at Camden Yards,2
630554,ATL,28,1,Truist Park,4705
630554,MIA,23,2,Truist Park,4705
630568,BAL,32,1,Oriole Park at Camden Yards,2
630568,WSH,25,2,Oriole Park at Camden Yards,2
630569,ATL,31,2,Truist Park,4705
630569,BOS,33,1,Truist Park,4705
630570,ATL,19,1,Truist Park,4705
630570,BOS,24,2,Truist Park,4705
630573,ATL,25,1,Truist Park,4705
630573,BOS,31,4,Truist Park,4705
630575,BAL,19,0,Oriole Park at Camden Yards,2
630575,MIA,27,2,Oriole Park at Camden Yards,2
630591,BAL,16,0,Oriole Park at Camden Yards,2
630591,MIA,14,1,Oriole Park at Camden Yards,2
630592,BAL,28,3,Oriole Park at Camden Yards,2
630592,TB,21,1,Oriole Park at Camden Yards,2
630851,NYY,11,1,Nationals Park,3309
630851,WSH,11,1,Nationals Park,3309
630852,BAL,28,2,Sahlen Field,2756
630852,TOR,27,0,Sahlen Field,2756
630853,PHI,31,1,Nationals Park,3309
630853,WSH,23,1,Nationals Park,3309
630854,NYM,28,3,Nationals Park,3309
630854,WSH,25,2,Nationals Park,3309
630855,PHI,34,1,Nationals Park,3309
630855,WSH,29,2,Nationals Park,3309
630856,NYY,20,2,Nationals Park,3309
630856,WSH,23,1,Nationals Park,3309
630857,TB,24,1,Nationals Park,3309
630857,WSH,28,0,Nationals Park,3309
630858,BAL,31,0,Sahlen Field,2756
630858,TOR,26,2,Sahlen Field,2756
630859,NYY,31,3,Sahlen Field,2756
630859,TOR,32,1,Sahlen Field,2756
630860,NYY,22,0,Sahlen Field,2756
630860,TOR,14,1,Sahlen Field,2756
630861,TOR,25,4,Nationals Park,3309
630861,WSH,27,0,Nationals Park,3309
630862,BOS,33,0,Sahlen Field,2756
630862,TOR,28,1,Sahlen Field,2756
630863,BOS,22,1,Sahlen Field,2756
630863,TOR,28,3,Sahlen Field,2756
630864,NYY,29,2,Sahlen Field,2756
630864,TOR,23,1,Sahlen Field,2756
630865,BOS,19,0,Fenway Park,3
630865,TOR,18,1,Fenway Park,3
630866,TOR,30,2,Nationals Park,3309
630866,WSH,19,0,Nationals Park,3309
630867,TB,21,0,Nationals Park,3309
630867,WSH,26,0,Nationals Park,3309
630868,NYM,37,3,Sahlen Field,2756
630868,TOR,21,0,Sahlen Field,2756
630869,ATL,27,4,Nationals Park,3309
630869,WSH,30,1,Nationals Park,3309
630870,NYM,24,0,Sahlen Field,2756
