pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel,Pitcher,Swing,Miss
SL,2020-08-08,87.4,1.40502139439019,6.11066497196767,Mike Yastrzemski,573262,477132,double,hit_into_play_score,NA,NA,NA,NA,8,Mike Yastrzemski doubles (6) on a line drive to center fielder Cody Bellinger.   Donovan Solano scores.,R,L,L,LAD,SF,X,8,line_drive,2,2,2020,-0.22095153088019,0.54021841195547,-0.27,1.5,NA,456781,NA,1,5,Top,158.2,40.9,NA,NA,605131,NA,null,-3.5908071669987,-127.196394957463,-6.09848227101874,-1.69220956419655,25.2379345945836,-25.2819532781117,3.33,1.53,381,97.6,24,87.739,2661,6.42204200753878,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.40502139439019,0.532,0.785,1.25,1,1,1,5,34,5,Slider,0,3,3,0,3,0,3,0,Strategic,Standard,0,Kershaw,1,0
SL,2020-08-08,87,1.4246782645557,6.23217735449733,Mike Yastrzemski,573262,477132,null,ball,NA,NA,NA,NA,13,null,R,L,L,LAD,SF,B,null,null,1,2,2020,-0.179633300332866,0.613525442039713,-0.54,0.88,NA,456781,NA,1,5,Top,NA,NA,NA,NA,605131,NA,null,-4.34298870135808,-126.510842285619,-7.92970078687398,-1.06871017524423,25.1758477070855,-24.1844527521468,3.36,1.5,NA,NA,NA,87.089,2640,6.32820637567741,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.4246782645557,null,null,null,null,null,null,null,34,4,Slider,0,3,3,0,3,0,3,0,Strategic,Standard,NA,Kershaw,0,0
FF,2020-08-08,91.4,1.24794711676058,6.24199771996355,Mike Yastrzemski,573262,477132,null,ball,NA,NA,NA,NA,12,null,R,L,L,LAD,SF,B,null,null,0,2,2020,-0.246480400204669,1.46932803350815,0.94,3.8,NA,456781,NA,1,5,Top,NA,NA,NA,NA,605131,NA,null,-0.249373327294189,-133.153535650044,-3.4366205896811,-2.87046685798344,29.4972620330304,-14.1923760917842,3.36,1.59,NA,NA,NA,91.468,2369,6.33806428177641,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.24794711676058,null,null,null,null,null,null,null,34,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Standard,NA,Kershaw,0,0
CU,2020-08-08,73.8,1.01742746752011,6.3742858985317,Mike Yastrzemski,573262,477132,null,called_strike,NA,NA,NA,NA,6,null,R,L,L,LAD,SF,S,null,null,0,1,2020,-0.247278626486986,-1.3693546009055,0.77,2.59,NA,456781,NA,1,5,Top,NA,NA,NA,NA,605131,NA,null,-0.0774751997839926,-107.405763565215,2.00984370355733,-1.88698216356405,20.2475417876849,-43.3158577619393,3.22,1.47,NA,NA,NA,73.334,2406,6.13059724703891,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.01742746752011,null,null,null,null,null,null,null,34,2,Curveball,0,3,3,0,3,0,3,0,Infield shift,Standard,NA,Kershaw,0,0
SL,2020-08-08,86.3,1.43490626146654,6.21591465591508,Mike Yastrzemski,573262,477132,null,foul,NA,NA,NA,NA,8,null,R,L,L,LAD,SF,S,null,null,0,0,2020,-0.47203100690195,0.410843660318606,-0.19,1.76,NA,456781,NA,1,5,Top,NA,NA,NA,NA,605131,NA,null,-2.90987980724378,-125.736436775831,-5.2583858729517,-4.48520959447516,23.7166788391412,-26.9945844340975,3.33,1.53,NA,NA,NA,86.503,2691,6.19308535631492,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.43490626146654,null,null,null,null,null,null,null,34,1,Slider,0,3,3,0,3,0,3,0,Infield shift,Standard,NA,Kershaw,1,0
SL,2020-08-08,86.2,1.49154525428547,6.26439342834365,Donovan Solano,456781,477132,double,hit_into_play_no_out,NA,NA,NA,NA,1,Donovan Solano doubles (7) on a sharp ground ball to left fielder AJ Pollock.,R,R,L,LAD,SF,X,7,ground_ball,1,1,2020,-0.419068126381959,0.24122419533295,-0.38,2.6,NA,NA,NA,1,5,Top,66.5,133.39,NA,NA,605131,NA,null,-3.53380522259339,-125.613364302845,-2.97522963159403,-3.75614459540142,24.60224467145,-29.2341675516505,3.03,1.46,98,104.6,4,85.097,2635,5.41853687783086,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.49154525428547,0.600,0.560,1.25,1,1,1,4,33,3,Slider,0,3,3,0,3,0,3,0,Strategic,Standard,0,Kershaw,1,0
CH,2020-08-08,87.8,1.79039567559897,6.01555055997552,Donovan Solano,456781,477132,null,ball,NA,NA,NA,NA,14,null,R,R,L,LAD,SF,B,null,null,0,1,2020,0.824228137550077,1.52285426320152,0.85,0.7,NA,NA,NA,1,5,Top,NA,NA,NA,NA,605131,NA,null,-3.97579683918045,-127.576930507915,-9.90444553777727,9.81943741223084,26.0076432072656,-13.6980292445908,3.05,1.52,NA,NA,NA,87.941,2182,6.43655518246985,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.79039567559897,null,null,null,null,null,null,null,33,2,Changeup,0,3,3,0,3,0,3,0,Strategic,Standard,NA,Kershaw,0,0
FF,2020-08-08,91.4,1.60411415763844,6.18594101326866,Donovan Solano,456781,477132,null,called_strike,NA,NA,NA,NA,5,null,R,R,L,LAD,SF,S,null,null,0,0,2020,-0.374865609135518,1.6655362147786,0.19,2.07,NA,NA,NA,1,5,Top,NA,NA,NA,NA,605131,NA,null,-2.74123533478967,-132.987531803747,-8.04583343139983,-3.85727882080494,28.6434725437544,-10.8883120229917,3.06,1.52,NA,NA,NA,91.047,2449,6.09088952158749,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.60411415763844,null,null,null,null,null,null,null,33,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,NA,Kershaw,0,0
SL,2020-08-08,86.7,1.50822723820039,6.21438573581655,Austin Slater,596103,477132,home_run,hit_into_play_score,NA,NA,NA,NA,8,Austin Slater homers (2) on a fly ball to center field.,R,R,L,LAD,SF,X,null,fly_ball,0,0,2020,-0.400221142923339,0.682928684084061,0.27,1.96,NA,NA,NA,1,5,Top,145.85,32.15,NA,NA,605131,NA,null,-2.12959859831154,-126.219974339322,-5.32295367702712,-3.8086930042478,26.9270953065228,-23.9850453025806,3.4,1.65,397,104.4,31,86.284,2662,6.10645866889952,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.50822723820039,0.875,1.695,2.00,1,0,3,6,32,1,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,1,Kershaw,1,0
FF,2020-08-08,91.7,1.54864120045805,6.07958894380571,Mauricio Dubon,643289,477132,field_out,hit_into_play,NA,NA,NA,NA,14,Mauricio Dubon lines out to shortstop Chris Taylor.,R,R,L,LAD,SF,X,6,line_drive,2,2,2020,0.0829991862206408,1.55414660384521,0.83,1.78,NA,NA,NA,0,5,Top,95.35,131.14,NA,NA,605131,NA,null,-1.98541737886451,-133.294604902261,-8.34664065556415,1.42124247506297,29.042809523842,-12.0568505378435,3.26,1.53,182,92.4,12,91.671,2465,6.36263191279005,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.54864120045805,0.892,0.845,0.00,1,0,0,4,31,7,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shift,Standard,0,Kershaw,1,0
