MTB > %p_beta_p 20.4 47.6 20;
SUBC> plot.

PREDICTIVE DISTRIBUTION OF NUMBER OF SUCCESSES:

 Row  NUM_SUCC       PRED

   1         0   0.002119
   2         1   0.012982
   3         2   0.040232
   4         3   0.083703
   5         4   0.130885
   6         5   0.163251
   7         6   0.168286
   8         7   0.146625
   9         8   0.109538
  10         9   0.070783
  11        10   0.039741
  12        11   0.019405
  13        12   0.008219
  14        13   0.003001
  15        14   0.000935
  16        15   0.000245
  17        16   0.000052
  18        17   0.000009
  19        18   0.000001
  20        19   0.000000
  21        20   0.000000

