MTB > %p_disc_p c1 c2 20;
SUBC> plot.

PREDICTIVE DISTRIBUTION OF NUMBER OF SUCCESSES:

 Row  NUM_SUCC       PRED

   1         0   0.003920
   2         1   0.021895
   3         2   0.060422
   4         3   0.110780
   5         4   0.153032
   6         5   0.170738
   7         6   0.160144
   8         7   0.128905
   9         8   0.089699
  10         9   0.053915
  11        10   0.027846
  12        11   0.012266
  13        12   0.004565
  14        13   0.001420
  15        14   0.000364
  16        15   0.000075
  17        16   0.000012
  18        17   0.000002
  19        18   0.000000
  20        19   0.000000
  21        20   0.000000

